#SECTION,COLONS,,,,
id,age,sante,satisfaction,energie,anneesDerniereNaissance
1,21,0.95,1.0,1.0,1
2,30,0.95,1.0,1.0,1
3,31,0.95,1.0,1.0,1
4,40,0.95,1.0,1.0,1
5,41,0.95,1.0,1.0,1
6,35,0.95,1.0,1.0,1
Colons vivants,6,,,,
Colons morts,6,,,,
#SECTION,ETAT_JEU,,,,
nomJeu,score,tour,pollution,,
a.csv,0.0,1,1.0E-4,,
#SECTION,GESTION,,,,
capaciteTotalPop,capaciteEntrepot,vaisseauPlace,centreDeCommunicationPlace,nombreVivants,
15,450,1,0,6,
#SECTION,INVENTAIRE,,,,
quantite,,,,,
0,,,,,
0,,,,,
100,,,,,
50,,,,,
35,,,,,
10,,,,,
5,,,,,
94,,,,,
44,,,,,
44,,,,,
250,,,,,
#SECTION,CASES_CARTE,,,,
symbole,quantiteRestante,ressourceActuelle,ressourceCaseInit,exploitee,fonctionne
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 C ,500,Carbone,Carbone,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
Cu ,500,Cuivre,Cuivre,false,true
Fe ,500,Fer,Fer,false,true
Fe ,500,Fer,Fer,false,true
Fe ,500,Fer,Fer,false,true
Fe ,500,Fer,Fer,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 U ,500,Uranium,Uranium,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 V ,-1,Vaisseau,Vaisseau,true,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
Cu ,500,Cuivre,Cuivre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 C ,500,Carbone,Carbone,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 C ,500,Carbone,Carbone,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 U ,500,Uranium,Uranium,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
 + ,500,Terre,Terre,false,true
